월,주,일,판매처,채널,품번,브랜드명,위탁사입수출,제조사명,판매처2,성별,추가분류,년도,시즌,입력일,품명,사입명,사입가,TAG가,판매가,원가,할인,생산(물류),재고(물류),재고(기타창고가용),판매금액(원장),판매수량(원장),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(네이버페이),네이버페이,BH00009,바디홀릭,위탁,엠베코코스메틱,바디홀릭,,,2017,9.기타,20180112,바디홀릭 클린팝 샴푸,,0,16900,15900,2542,6,0,75826,1,15900,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(위메프),위메프,BH00009,바디홀릭,위탁,엠베코코스메틱,바디홀릭,,,2017,9.기타,20180112,바디홀릭 클린팝 샴푸,,0,16900,15900,2542,6,0,75826,1,33800,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(스타일쉐어),스타일쉐어,BH00009,바디홀릭,위탁,엠베코코스메틱,바디홀릭,,,2017,9.기타,20180112,바디홀릭 클린팝 샴푸,,0,16900,15900,2542,6,0,75826,1,16900,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,"미팩토리,바디홀릭(스토어팜)",스토어팜,BH00009,바디홀릭,위탁,엠베코코스메틱,바디홀릭,,,2017,9.기타,20180112,바디홀릭 클린팝 샴푸,,0,16900,15900,2542,6,0,75826,1,15900,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(자사몰),자사몰,BH00009,바디홀릭,위탁,엠베코코스메틱,바디홀릭,,,2017,9.기타,20180112,바디홀릭 클린팝 샴푸,,0,16900,15900,2542,6,0,75826,1,14900,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,어니시(자사몰),자사몰,CS_00005,,위탁,기타,,,,2018,9.기타,20180302,CS_불량,,0,0,0,0,0,0,99958,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,닥터제시카(자사몰),자사몰,DJ00001,닥터제시카,위탁,아이엔지메딕스,TFT,,,2017,9.기타,20180112,뉴트리션플러스,,0,39000,29000,3663,26,0,568,13,632200,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,닥터제시카(자사몰),자사몰,DJ00002,닥터제시카,위탁,아인솝인터네셔널,TFT,,,2017,9.기타,20180112,스파엔 테라피,,0,31000,24000,3541,23,0,1170,18,235200,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,닥터제시카(스토어팜),스토어팜,DJ00002,닥터제시카,위탁,아인솝인터네셔널,TFT,,,2017,9.기타,20180112,스파엔 테라피,,0,31000,24000,3541,23,0,1170,18,24000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,닥터제시카(자사몰),자사몰,DJ00003,닥터제시카,위탁,바이오피이드,TFT,,,2018,9.기타,20180209,오가닉 미니큐브 닭가슴살,,0,0,0,0,0,29,100,0,22000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
